Date,Region,Channel,Product category,Traffic source,Net Sales,Sq Footage,Total Transactions,Units Sold,Total Visitors,Number of Sales,Store Entrances,Website Sessions,Total Gross Profit,Avg Inventory Cost,COGS,Avg Inventory Value,Beginning Inventory,Recorded Value,Actual Value,Retail Sales,Start Customers,End Customers,New Customers,Customers Lost,Sales Marketing Expenses,Avg Purchase Value,Avg Purchase Frequency,Avg Customer Lifespan Years,Revenue From Ads,Cost Of Ads,Total Revenue,Total Expenses,Cash,Marketable Securities,Accounts Receivable,Current Liabilities,Current Assets
2025-03-03,Central,In-Store,Sports,Social,57902.71,5191,1726,4203,33676,1726,17383,4063,23275.36,31548.01,34627.35,29479.66,9389,58596.85,56556.04,57902.71,3291,3634,426,83,10653.42,33.55,4.13,2.03,13312.6,6072.24,57902.71,48108.09,36774.78,165.08,22624.54,45174.11,68408.3
2025-03-03,Central,In-Store,Beauty,Organic Search,166543.18,5668,230,348,3556,230,2667,1323,65174.44,92298.03,101368.74,91305.49,523,168148.41,157825.5,166543.18,3720,3986,479,213,10682.91,724.1,4.35,4.91,6490.76,2280.85,166543.18,152228.23,37922.06,2661.19,11273.54,45479.98,79248.44
2025-03-10,Central,Mobile,Home,Organic Search,112705.98,2574,2077,3998,27372,2077,0,27372,61087.07,56533.87,51618.91,73370.79,9862,112965.17,112499.23,112705.98,5167,5276,161,52,7508.95,54.26,1.71,2.05,12895.74,7646.77,112705.98,82634.62,13044.88,7828.48,2955.38,64449.22,45839.98
2025-03-10,Central,Mobile,Apparel,Organic Search,144536.59,4288,531,1354,9731,531,0,9731,53476.96,117368.78,91059.63,140757.27,1849,148567.27,140442.97,144536.59,2564,2496,328,396,10938.74,272.2,5.6,4.01,31296.08,7128.83,144536.59,126356.42,54998.71,1479.05,14975.9,18653.02,113680.84
2025-03-17,Central,In-Store,Electronics,Direct,151126.62,1887,1265,2554,19989,1265,13077,7085,58578.6,95888.38,92548.02,127702.81,3802,153202.56,147574.25,151126.62,6951,6926,205,230,5206.73,119.47,5.86,3.83,17371.32,4194.51,151126.62,94229.82,56197.84,7492.36,24476.09,60929.89,126477.13
2025-03-17,Central,Mobile,Home,Paid Search,16419.37,3548,505,1372,9750,505,0,9750,4653.04,11203.97,11766.33,14512.65,3035,16898.61,16849.5,16419.37,8675,8516,218,377,14787.03,32.51,3.37,1.12,27995.51,6446.29,16419.37,12654.62,29863.11,2913.65,22720.21,21991.08,59850.76
2025-03-24,Central,Web,Beauty,Direct,113637.87,5522,1320,2231,32852,1320,0,32852,62438.02,75833.2,51199.85,62843.35,4156,114852.86,111841.03,113637.87,5222,5423,440,239,8834.9,86.09,3.03,4.22,11538.79,4656.43,113637.87,85362.81,57893.7,16988.73,14465.05,49468.73,108200.48
2025-03-24,Central,In-Store,Home,Paid Search,113009.73,2247,2102,3631,43105,2102,42528,9161,37822.94,60823.62,75186.79,104567.24,4612,115925.42,113028.62,113009.73,6320,6331,208,197,5383.98,53.76,1.96,2.96,12759.94,7825.31,113009.73,88716.55,24714.0,867.18,15662.75,10080.31,72614.1
2025-03-31,Central,Mobile,Electronics,Organic Search,172186.75,1608,876,1873,42930,876,0,42930,45444.31,118614.73,126742.44,130723.32,3797,173188.28,170220.78,172186.75,5278,5323,84,39,5340.96,196.56,4.55,1.28,19427.35,6841.21,172186.75,151127.29,22535.98,9460.1,23103.33,17603.8,94316.41
2025-03-31,Central,Web,Sports,Organic Search,101536.56,1784,1806,5612,55596,1806,0,55596,46123.15,77827.49,55413.41,70472.62,10036,102788.95,96398.98,101536.56,7839,8145,444,138,11661.73,56.22,7.73,3.67,6340.08,2148.62,101536.56,68303.74,7431.92,14330.57,4751.57,26351.07,47655.85
2025-04-07,Central,In-Store,Beauty,Social,153610.75,4205,1528,4229,22230,1528,15268,7940,77920.94,113582.26,75689.81,116149.66,5105,155014.75,142871.65,153610.75,2381,2176,125,330,12386.06,100.53,1.71,4.2,6931.78,3827.24,153610.75,145004.76,37400.63,4383.49,20818.17,52679.42,97447.19
2025-04-07,Central,Mobile,Electronics,Social,109087.38,5653,1052,3307,20633,1052,0,20633,43869.46,57366.83,65217.92,95059.91,7658,112041.32,105171.62,109087.38,6341,6220,275,396,6738.52,103.7,3.74,2.97,7441.05,2162.97,109087.38,71490.47,46951.55,12215.8,10233.57,59103.65,97918.89
2025-04-14,Central,Web,Electronics,Social,79915.41,5745,1417,3126,21092,1417,0,21092,41289.54,51024.0,38625.87,55163.78,6200,81952.93,78513.09,79915.41,8921,8964,206,163,3122.65,56.4,7.62,2.82,9411.56,4023.96,79915.41,62988.52,6598.03,1029.9,21943.63,9727.27,46120.69
2025-04-14,Central,Web,Electronics,Social,133646.51,2599,1668,3520,25301,1668,0,25301,55164.0,93215.46,78482.51,111348.1,8667,135672.93,126066.47,133646.51,3087,3330,340,97,2378.49,80.12,3.56,1.03,30845.24,5871.7,133646.51,96721.29,52305.28,108.46,8474.73,18894.27,94292.9
2025-04-21,Central,In-Store,Sports,Social,119919.09,2665,1983,4311,45413,1983,39442,5814,56858.37,51894.44,63060.72,58759.4,6465,122491.07,120265.2,119919.09,7832,8055,370,147,1994.96,60.47,2.35,3.56,27780.59,6657.86,119919.09,109176.5,17358.47,13233.85,22643.99,41615.25,70864.13
2025-04-21,Central,Mobile,Beauty,Direct,130927.69,2320,918,2261,14861,918,0,14861,50877.24,53225.38,80050.45,104022.96,4253,133674.71,131279.43,130927.69,5021,5287,317,51,13311.46,142.62,5.83,3.41,3118.47,1091.15,130927.69,98277.27,35436.33,17228.92,14772.64,53391.97,98644.78
2025-04-28,Central,Mobile,Electronics,Paid Search,127170.07,1797,853,2054,27628,853,0,27628,63647.72,113717.43,63522.35,78321.24,3139,128945.08,121698.82,127170.07,6651,6636,349,364,4658.0,149.09,3.58,2.67,3040.71,1620.79,127170.07,95044.98,26736.36,2386.13,12366.9,9035.96,64985.76
2025-04-28,Central,Web,Sports,Social,147139.44,3693,891,1340,32832,891,0,32832,72761.24,117089.81,74378.2,95448.84,1988,150202.36,146668.13,147139.44,2476,2556,412,332,13197.83,165.14,4.61,3.11,5845.67,1976.87,147139.44,122073.21,5329.73,4939.99,4241.43,9797.3,43145.8
2025-05-05,Central,In-Store,Home,Email,130542.44,2262,1955,3299,25043,1955,17455,5052,33976.55,103448.66,96565.89,107160.7,7265,133832.46,124323.06,130542.44,3514,3723,320,111,14873.53,66.77,3.56,3.57,20761.49,5271.57,130542.44,123588.89,39158.0,10111.88,21456.36,45688.35,102874.45
2025-05-05,Central,Mobile,Home,Paid Search,41016.5,2496,934,2425,14828,934,0,14828,21771.47,32998.54,19245.03,26036.06,5730,42238.36,39272.43,41016.5,7788,8118,476,146,10277.5,43.91,2.94,2.71,10691.37,2853.86,41016.5,31688.45,24427.21,8670.17,14645.36,11512.64,55553.56
2025-05-12,Central,Mobile,Home,Paid Search,126008.18,2973,333,657,6255,333,0,6255,42367.12,87893.39,83641.06,102411.53,1037,126050.47,119152.88,126008.18,7321,7341,266,246,4307.9,378.4,3.52,3.53,12501.75,6367.73,126008.18,77039.85,52371.64,2937.83,2089.6,65207.23,88122.53
2025-05-12,Central,Mobile,Beauty,Paid Search,17652.23,3444,1765,4510,23799,1765,0,23799,7837.14,11314.79,9815.09,8698.24,7534,18104.96,17145.28,17652.23,5628,5861,434,201,11077.43,10.0,7.13,4.65,8727.29,5188.78,17652.23,10682.0,15076.22,708.59,9721.77,8680.27,28116.05
2025-05-19,Central,In-Store,Home,Paid Search,134132.2,3517,945,1126,14575,945,10204,2072,59114.4,61960.91,75017.8,113681.57,1617,134396.32,132210.54,134132.2,3924,4003,368,289,13651.44,141.94,4.76,3.59,6024.84,3404.86,134132.2,89711.76,20627.77,2429.39,23880.43,19936.88,81042.06
2025-05-19,Central,Web,Apparel,Email,166265.64,3929,1086,2797,22223,1086,0,22223,44531.19,92083.28,121734.45,131838.24,5533,170467.79,169201.04,166265.64,7808,7786,90,112,12981.36,153.1,3.94,3.58,8312.98,2349.24,166265.64,142659.75,32465.73,7479.26,10359.43,20100.92,89855.89
2025-05-26,Central,In-Store,Beauty,Paid Search,38377.91,3557,1368,3370,29957,1368,26937,8178,12522.52,17427.59,25855.39,33978.4,7338,39488.06,36817.01,38377.91,3727,3731,296,292,11940.55,28.05,6.19,3.45,18249.42,3370.74,38377.91,33310.51,14553.66,3274.96,17399.29,51300.86,45421.43
2025-05-26,Central,Mobile,Beauty,Direct,37511.38,5548,1563,2047,22610,1563,0,22610,18962.73,23471.83,18548.65,19366.65,3400,38337.29,37628.76,37511.38,8597,8624,232,205,13965.52,24.0,5.04,4.49,11629.67,3898.87,37511.38,34108.57,41935.35,4248.82,9912.68,32838.82,61906.85
2025-06-02,Central,In-Store,Beauty,Social,42386.37,3324,1775,3743,32652,1775,14111,10869,21171.28,30539.88,21215.09,30028.98,7032,43404.64,42142.42,42386.37,8218,8323,449,344,8674.88,23.88,6.58,4.52,37855.1,6946.6,42386.37,29631.32,35778.45,9007.29,8815.89,27960.24,62610.32
2025-06-02,Central,In-Store,Electronics,Organic Search,152427.73,2947,2184,4159,28718,2184,20762,10195,64456.61,121989.15,87971.12,91540.95,10383,154357.74,145894.44,152427.73,6511,6497,132,146,13421.69,69.79,7.88,2.52,2846.47,740.0,152427.73,121772.09,9011.48,7758.23,4686.14,22841.78,48918.13
2025-06-09,Central,Web,Sports,Email,149807.25,3657,1597,2119,23633,1597,0,23633,62877.75,91222.9,86929.5,101056.32,3172,152401.71,146545.91,149807.25,5850,5935,393,308,3691.88,93.81,2.86,1.88,9777.26,5845.07,149807.25,114130.7,50483.17,7834.01,21679.69,11372.67,110313.77
2025-06-09,Central,In-Store,Home,Email,93828.6,1685,215,422,3418,215,3215,1147,39125.65,72194.14,54702.95,79657.01,987,95860.16,90844.99,93828.6,7926,7902,213,237,4274.69,436.41,4.0,4.4,24151.16,5401.79,93828.6,63208.24,39169.09,12150.19,15604.83,24189.81,90821.21
2025-06-16,Central,In-Store,Apparel,Organic Search,152435.62,2669,1895,4699,25682,1895,22293,2607,75429.66,128852.7,77005.96,76389.48,10918,154231.73,151240.06,152435.62,8986,9221,337,102,11267.63,80.44,6.51,4.27,7876.94,3410.21,152435.62,102745.01,42236.46,12787.79,12031.42,63706.93,89972.51
2025-06-16,Central,Web,Home,Social,42440.41,3299,646,1592,20001,646,0,20001,14535.03,32002.57,27905.38,25500.7,2891,42846.31,42272.38,42440.41,6886,7154,469,201,3705.44,65.7,7.26,2.42,4681.89,2678.7,42440.41,35086.92,26644.09,16970.1,20594.54,44164.87,71858.94
2025-06-23,Central,Mobile,Beauty,Paid Search,122721.48,5313,808,2252,21059,808,0,21059,64242.8,58565.97,58478.68,66497.48,5345,123304.05,114509.56,122721.48,2807,3060,464,211,5564.03,151.88,7.16,1.12,5358.73,1373.66,122721.48,111517.26,18323.56,3993.46,23909.72,26316.72,66175.98
2025-06-23,Central,In-Store,Electronics,Social,139772.99,2952,1510,2607,20716,1510,17669,4426,73015.43,75573.16,66757.56,96683.54,4060,140289.21,137836.71,139772.99,7042,7267,468,243,14600.46,92.56,7.96,3.52,14523.52,7592.25,139772.99,130536.59,33956.83,12084.82,17604.35,46859.26,92651.06
2025-06-30,Central,Mobile,Apparel,Email,81866.2,4169,983,2825,30452,983,0,30452,38175.1,55158.06,43691.1,42399.73,4383,81949.09,76315.79,81866.2,8575,8578,77,74,9230.72,83.28,5.65,1.1,12692.55,4476.18,81866.2,71869.41,53799.04,14253.8,17307.85,42013.96,98080.61
2025-06-30,Central,Mobile,Electronics,Organic Search,95368.22,2704,812,2030,13400,812,0,13400,47226.57,63215.53,48141.65,64907.43,2468,96116.78,95853.12,95368.22,6224,6548,439,115,13007.7,117.45,3.49,2.15,16389.83,4486.97,95368.22,78988.61,35433.97,19291.9,20584.23,65169.19,94782.33
2025-07-07,Central,Mobile,Home,Email,156719.17,5207,1958,3885,36699,1958,0,36699,65217.38,97364.17,91501.79,136875.54,7403,159667.7,150176.76,156719.17,3059,3394,483,148,13965.21,80.04,6.57,1.7,10633.11,3010.47,156719.17,96144.15,30337.89,4140.56,21489.21,41456.13,97030.32
2025-07-07,Central,Web,Home,Email,31312.28,4709,1732,3636,79084,1732,0,79084,9364.97,20445.39,21947.31,28982.82,5541,31413.17,30801.24,31312.28,5229,5297,216,148,12538.61,18.08,4.14,3.34,8330.62,1663.45,31312.28,18824.26,21452.24,16772.84,15715.67,69361.22,62635.6
2025-07-14,Central,Web,Home,Organic Search,177423.05,5607,142,240,5179,142,0,5179,60143.37,118371.41,117279.68,150852.82,562,180735.67,175111.64,177423.05,4987,5257,458,188,5367.67,1249.46,6.28,1.56,8624.69,3557.06,177423.05,167597.03,41745.87,5510.37,10578.57,49855.09,103090.66
2025-07-14,Central,In-Store,Apparel,Organic Search,179262.98,2792,2050,5907,58266,2050,51969,8087,47142.29,101998.3,132120.69,209348.58,11195,180496.29,178320.96,179262.98,7543,7569,182,156,12224.32,87.45,5.19,4.72,13161.59,3561.53,179262.98,164550.96,48842.46,3942.86,2826.79,8524.0,118416.68
2025-07-21,Central,Mobile,Electronics,Organic Search,91154.29,5275,850,1521,11076,850,0,11076,48103.83,55537.44,43050.46,51943.73,1956,91718.16,91446.61,91154.29,5854,5743,118,229,7613.09,107.24,4.61,1.54,9841.09,4091.16,91154.29,64063.87,5616.28,18397.63,9029.49,48328.29,48626.52
2025-07-21,Central,Web,Electronics,Social,70966.74,3378,1644,4287,54886,1644,0,54886,21890.46,35561.97,49076.28,59067.06,8130,71584.83,66254.46,70966.74,3578,3393,212,397,13650.33,43.17,7.35,4.28,12985.81,2470.86,70966.74,67145.71,28163.0,10925.26,7795.05,28303.88,64603.43
2025-07-28,Central,Web,Home,Paid Search,171320.87,5666,949,2906,11988,949,0,11988,80841.45,120825.81,90479.42,101479.2,4912,176269.67,168227.54,171320.87,6825,6798,295,322,9321.77,180.53,4.47,2.63,5585.82,1298.69,171320.87,154068.49,6223.7,17265.81,21667.65,44223.01,75600.92
2025-07-28,Central,Web,Sports,Direct,154843.13,3242,1318,3121,33560,1318,0,33560,71295.59,121212.75,83547.54,124551.2,6214,158770.26,155657.2,154843.13,3043,3444,448,47,8129.29,117.48,6.82,3.05,22726.83,4436.81,154843.13,93738.66,35173.75,5821.43,9436.6,40818.38,87797.14
2025-08-04,Central,Mobile,Beauty,Organic Search,72107.41,2859,298,915,4606,298,0,4606,30720.79,42788.74,41386.62,47346.62,1216,73720.73,70464.77,72107.41,7174,7286,491,379,5909.69,241.97,5.61,2.56,20727.97,6436.92,72107.41,58496.2,42279.73,16665.63,9639.7,12611.15,82789.05
2025-08-04,Central,Web,Electronics,Paid Search,106939.18,4292,177,334,7414,177,0,7414,40797.83,95354.1,66141.35,88444.29,669,107898.15,107605.71,106939.18,6783,6665,92,210,2858.38,604.18,6.14,1.73,15976.3,3421.96,106939.18,94970.43,49963.88,13618.5,11295.17,68029.48,101410.84
2025-08-11,Central,In-Store,Beauty,Paid Search,98569.81,1557,777,1814,23790,777,20279,6205,30188.24,57396.8,68381.57,96477.54,3456,101058.05,93136.16,98569.81,7536,7845,433,124,11863.84,126.86,1.86,4.33,17390.79,4807.23,98569.81,83812.67,14392.03,12795.16,22432.77,67248.65,78563.22
2025-08-11,Central,Web,Home,Direct,124872.65,5235,360,405,5990,360,0,5990,67015.93,97811.5,57856.72,65937.13,568,127343.26,124004.42,124872.65,6084,5832,82,334,10164.78,346.87,1.71,3.54,11921.06,7350.1,124872.65,75166.6,52873.51,2571.53,4621.81,43223.44,79847.99
2025-08-18,Central,In-Store,Sports,Paid Search,65736.95,2149,645,1716,17992,645,13888,4681,29164.19,28763.9,36572.76,57247.45,3754,66633.27,62913.56,65736.95,2002,2149,482,335,9640.02,101.92,5.79,3.75,10606.13,2770.72,65736.95,54389.77,12196.52,12016.2,10278.16,60695.91,51665.12
2025-08-18,Central,Web,Beauty,Organic Search,57640.42,5207,982,3012,42012,982,0,42012,27922.09,47735.31,29718.33,40201.89,6057,59298.61,58579.12,57640.42,2289,2206,63,146,5493.95,58.7,2.01,3.83,5571.8,1977.9,57640.42,41687.0,49004.53,6404.92,23697.18,9367.19,91167.2
2025-08-25,Central,In-Store,Beauty,Organic Search,65786.4,3186,2139,5997,35624,2139,17811,6763,35579.15,32951.05,30207.25,39521.82,14790,65935.05,65145.59,65786.4,3753,3775,167,145,2141.67,30.76,7.98,2.61,9811.21,2194.14,65786.4,41589.19,51430.28,1894.67,9747.28,12170.73,74928.78
2025-08-25,Central,In-Store,Beauty,Direct,72233.86,2269,1366,2370,25954,1366,18263,4002,33525.0,29218.49,38708.86,36496.91,4736,72860.92,70489.95,72233.86,2303,2256,28,75,11466.13,52.88,3.91,1.64,15797.36,5960.11,72233.86,47735.63,27282.38,10997.99,4383.91,9440.23,53613.35
2025-09-01,Central,In-Store,Apparel,Social,135552.94,1943,604,919,15132,604,14577,5087,35655.2,116782.65,99897.74,107129.93,1827,138979.05,135135.36,135552.94,3370,3475,238,133,2813.48,224.43,5.7,3.47,39156.76,7187.65,135552.94,88205.93,5811.04,5641.18,2547.99,10423.88,46139.19
2025-09-01,Central,Mobile,Home,Direct,163773.7,2879,1825,2599,34271,1825,0,34271,82450.98,69758.23,81322.72,102365.84,5357,164038.36,153593.77,163773.7,3007,3274,377,110,10412.06,89.74,2.61,1.1,11182.99,4513.9,163773.7,141817.37,7503.6,5798.68,22326.81,11373.08,66338.84
2025-09-08,Central,In-Store,Sports,Paid Search,22913.18,5888,1699,4787,57383,1699,26700,7800,10969.09,16428.94,11944.09,11514.91,5953,23343.37,23208.53,22913.18,8105,8257,350,198,13641.13,13.49,2.8,2.04,11480.32,4117.56,22913.18,13786.04,38027.91,6140.2,5820.61,55392.47,53443.19
2025-09-08,Central,Mobile,Home,Social,114881.15,4234,1932,4035,40024,1932,0,40024,44459.6,49266.2,70421.55,88974.36,8885,118020.41,117800.53,114881.15,8174,8618,459,15,13363.82,59.46,4.64,2.92,15615.35,3716.71,114881.15,102998.23,54131.34,19963.05,18629.06,22998.2,119415.76
2025-09-15,Central,Web,Home,Paid Search,96058.58,4026,1282,3086,16229,1282,0,16229,41654.9,63458.78,54403.68,61090.89,5956,96827.41,94499.83,96058.58,3383,3233,51,201,7630.91,74.93,1.65,3.24,19618.41,4122.79,96058.58,77310.96,38537.94,15149.58,9291.56,52302.51,81306.35
2025-09-15,Central,Mobile,Home,Paid Search,179053.24,4376,1681,2712,52052,1681,0,52052,77157.88,134904.04,101895.36,134092.89,3303,183170.85,174163.07,179053.24,8203,8380,204,27,2755.83,106.52,1.75,4.41,13247.95,4741.2,179053.24,127216.01,42321.02,11999.51,22902.12,28086.64,117450.52
2025-09-22,Central,In-Store,Sports,Direct,125207.5,5654,1004,2462,12793,1004,7515,4948,55844.53,67101.49,69362.97,91931.33,5629,126810.55,117768.91,125207.5,7510,7471,237,276,6644.86,124.71,7.44,2.8,26899.44,5780.09,125207.5,89645.57,6086.21,2346.07,22802.11,52942.69,58813.79
2025-09-22,Central,In-Store,Home,Direct,129821.73,4131,2024,3944,86655,2024,47036,31099,56718.54,58928.58,73103.19,73448.71,7789,130395.21,127165.93,129821.73,4280,4670,477,87,11508.92,64.14,2.83,3.96,15272.82,6822.01,129821.73,104455.99,26213.25,11280.46,23024.92,53573.53,82553.24
2025-09-29,Central,Web,Electronics,Paid Search,39347.84,5084,465,978,12299,465,0,12299,13848.62,33096.62,25499.22,38974.99,2091,39494.98,36639.43,39347.84,2512,2644,194,62,12728.52,84.62,7.52,4.44,14443.92,6881.98,39347.84,26074.49,41685.72,3498.72,5382.62,42937.41,62259.56
2025-09-29,Central,Web,Home,Paid Search,47885.15,4630,943,2667,27146,943,0,27146,24882.44,34346.79,23002.71,28413.62,4266,48934.27,46641.71,47885.15,2542,2823,312,31,4296.88,50.78,3.39,1.8,1842.28,898.01,47885.15,30225.99,7262.84,8444.78,3127.81,49033.18,27359.52
2025-10-06,Central,In-Store,Electronics,Paid Search,121900.87,3262,259,657,8729,259,5525,958,62134.98,71336.61,59765.89,84748.48,960,125369.67,120861.45,121900.87,4423,4240,184,367,9627.22,470.66,6.45,1.11,17086.97,3404.32,121900.87,104313.38,52619.57,5815.81,18412.68,43276.53,102272.6
2025-10-06,Central,In-Store,Sports,Organic Search,173320.03,1713,935,1373,15211,935,7050,1759,76602.46,80701.33,96717.57,136328.36,1745,174100.91,170652.1,173320.03,6894,7048,252,98,9538.43,185.37,6.81,2.79,40064.3,7951.65,173320.03,110933.19,28722.51,9266.16,16802.65,38619.97,95689.83
2025-10-13,Central,Web,Apparel,Email,132341.35,1911,790,874,20449,790,0,20449,47843.61,76220.97,84497.74,97457.43,1610,133365.38,123419.24,132341.35,4475,4467,239,247,5149.72,167.52,5.91,3.59,28997.72,7859.58,132341.35,119527.05,52834.61,4900.41,13857.4,66901.25,100829.65
2025-10-13,Central,Mobile,Beauty,Email,30316.92,2148,108,248,4768,108,0,4768,12565.22,19653.54,17751.7,18489.15,483,30543.78,28254.88,30316.92,2651,2498,167,320,7214.18,280.71,2.86,4.4,18654.91,4733.98,30316.92,19211.97,52870.44,6290.18,2067.24,49698.52,66774.6
2025-10-20,Central,Mobile,Sports,Email,19150.8,5034,1928,5239,27549,1928,0,27549,6435.97,16017.17,12714.83,11944.47,7867,19605.61,19158.02,19150.8,6039,6132,131,38,2664.1,9.93,4.32,2.55,24401.75,6417.65,19150.8,17537.75,30445.03,9417.5,17573.26,36892.65,61019.13
