Week Start,Region,Product category,Supplier,Units Ordered,Units Received,Backorder Units,On Hand Units,Supplier Fill Rate,Lead Time Days,Stockout Days,Inbound Freight Cost,Purchase Price Per Unit,Lead Time Unit Days,Days In Period
2025-01-14,South,Home,Kestrel Logistics,8062,7756,306,29952,0.962,12.11,0.55,12393.57,36.5017,93957.9,7
2025-01-14,South,Home,Northwind Foods,5218,4834,384,14265,0.9264,12.13,0.62,9201.19,36.5017,58638.75,7
2025-01-14,South,Sports,Kestrel Logistics,18173,17364,809,45783,0.9555,10.01,0.05,30354.03,25.3189,173892.97,7
2025-01-14,South,Sports,Northwind Foods,11859,11217,642,41137,0.9459,13.67,0.18,21606.63,25.3189,153362.26,7
2025-01-14,West,Apparel,Kestrel Logistics,2953,2845,108,6987,0.9634,9.99,0.07,5461.93,20.7274,28418.79,7
2025-01-14,West,Apparel,Northwind Foods,4221,4007,214,12244,0.9493,9.62,0.22,7623.28,20.7274,38546.44,7
2025-01-14,West,Beauty,Kestrel Logistics,8801,8261,540,21109,0.9386,7.7,1.21,15963.1,20.4686,63639.68,7
2025-01-14,West,Beauty,Northwind Foods,6263,5846,417,14689,0.9334,10.64,0.7,11420.82,20.4686,62223.06,7
2025-01-14,West,Electronics,Kestrel Logistics,10090,9503,587,27865,0.9418,10.24,0.04,17246.1,22.2868,97287.92,7
2025-01-14,West,Electronics,Northwind Foods,8853,8844,9,25791,0.999,10.71,0.42,16407.13,22.2868,94715.71,7
2025-01-14,West,Home,Kestrel Logistics,8515,8499,16,27591,0.9981,11.49,0.33,14845.8,23.9635,97682.3,7
2025-01-14,West,Home,Northwind Foods,16803,15883,920,49140,0.9452,12.1,0.95,29274.26,23.9635,192140.84,7
2025-01-14,West,Sports,Kestrel Logistics,12536,11833,703,35658,0.9439,11.83,0.5,21572.87,21.0309,139936.41,7
2025-01-14,West,Sports,Northwind Foods,5441,5436,5,15628,0.9991,10.16,0.29,9950.16,21.0309,55224.46,7
2025-01-21,Central,Apparel,Kestrel Logistics,6644,6452,192,16134,0.9711,9.92,0.18,10897.04,36.3609,64029.88,7
2025-01-21,Central,Apparel,Northwind Foods,5655,5420,235,14058,0.9584,12.01,0.06,9631.83,36.3609,65108.12,7
2025-01-21,Central,Beauty,Kestrel Logistics,15637,14812,825,48008,0.9472,7.88,0.38,23086.2,24.3615,116785.09,7
2025-01-21,Central,Beauty,Northwind Foods,15794,15733,61,38439,0.9961,10.31,0.26,27247.72,24.3615,162203.55,7
2025-01-21,Central,Electronics,Kestrel Logistics,8424,8247,177,19009,0.979,9.96,0.5,15531.96,21.2732,82144.59,7
2025-01-21,Central,Electronics,Northwind Foods,11832,11366,466,32671,0.9606,9.47,0.42,20703.41,21.2732,107670.98,7
2025-01-21,Central,Home,Kestrel Logistics,6925,6636,289,16830,0.9583,9.68,0.02,12421.9,28.4641,64213.02,7
2025-01-21,Central,Home,Northwind Foods,7094,6901,193,20541,0.9728,11.1,0.14,11054.45,28.4641,76627.55,7
2025-01-21,Central,Sports,Kestrel Logistics,10413,9791,622,27268,0.9403,9.28,0.26,17047.6,13.8029,90904.9,7
2025-01-21,Central,Sports,Northwind Foods,15584,15001,583,54254,0.9626,10.28,0.22,27581.91,13.8029,154227.79,7
2025-01-21,East,Apparel,Kestrel Logistics,8070,7749,321,26381,0.9602,11.6,0.13,15088.85,25.8533,89857.41,7
2025-01-21,East,Apparel,Northwind Foods,15600,14987,613,48755,0.9607,11.24,0.02,27128.17,25.8533,168447.28,7
2025-01-21,East,Beauty,Kestrel Logistics,5050,4823,227,14605,0.955,11.02,0.16,8957.73,29.6819,53136.46,7
2025-01-21,East,Beauty,Northwind Foods,5217,5056,161,13375,0.9691,11.56,0.35,8897.99,29.6819,58464.1,7
2025-01-21,East,Electronics,Kestrel Logistics,9249,9094,155,27672,0.9832,10.13,0.15,16132.26,25.1431,92141.0,7
2025-01-21,East,Electronics,Northwind Foods,25653,24973,680,80053,0.9735,8.84,0.33,47000.69,25.1431,220823.7,7
2025-01-21,East,Home,Kestrel Logistics,10171,9879,292,24758,0.9713,10.44,0.08,18645.18,25.7633,103091.18,7
2025-01-21,East,Home,Northwind Foods,13731,13289,442,41649,0.9678,10.43,0.54,25824.05,25.7633,138601.22,7
2025-01-21,East,Sports,Kestrel Logistics,6148,5933,215,16728,0.965,13.0,0.3,12273.0,21.7136,77103.83,7
2025-01-21,East,Sports,Northwind Foods,3159,3051,108,9781,0.9658,11.1,0.29,5573.26,21.7136,33881.27,7
2025-01-21,North,Apparel,Kestrel Logistics,5640,5475,165,18296,0.9707,9.62,0.2,9274.81,31.627,52655.68,7
2025-01-21,North,Apparel,Northwind Foods,4506,4290,216,13427,0.9521,12.14,0.67,8338.32,31.627,52067.45,7
2025-01-21,North,Beauty,Kestrel Logistics,12723,12710,13,39776,0.999,11.9,1.16,26413.47,21.7572,151203.54,7
2025-01-21,North,Beauty,Northwind Foods,9806,9446,360,30685,0.9633,11.95,1.2,17135.07,21.7572,112877.47,7
2025-01-21,North,Electronics,Kestrel Logistics,3789,3683,106,11991,0.972,12.19,0.28,6836.15,63.0216,44889.92,7
2025-01-21,North,Electronics,Northwind Foods,4323,4294,29,13906,0.9933,9.87,0.09,7553.78,63.0216,42388.24,7
2025-01-21,North,Home,Kestrel Logistics,15885,15011,874,44843,0.945,9.03,0.47,28676.11,25.57,135490.26,7
2025-01-21,North,Home,Northwind Foods,9763,9287,476,33020,0.9512,10.78,0.05,18238.43,25.57,100071.82,7
2025-01-21,North,Sports,Kestrel Logistics,2935,2846,89,9523,0.9697,11.3,0.33,5459.27,38.7642,32170.46,7
2025-01-21,North,Sports,Northwind Foods,3778,3727,51,11408,0.9865,11.64,0.16,7169.53,38.7642,43372.16,7
2025-01-21,South,Apparel,Kestrel Logistics,12833,11981,852,30001,0.9336,10.95,2.37,21286.77,28.5354,131162.78,7
2025-01-21,South,Apparel,Northwind Foods,5135,5000,135,14089,0.9737,10.68,0.22,9261.74,28.5354,53406.26,7
2025-01-21,South,Beauty,Kestrel Logistics,7644,7439,205,21748,0.9732,11.85,0.22,13485.0,15.8273,88183.27,7
2025-01-21,South,Beauty,Northwind Foods,11708,11494,214,36588,0.9817,9.99,0.25,21726.14,15.8273,114862.76,7
2025-01-21,South,Electronics,Kestrel Logistics,6632,6344,288,20211,0.9566,11.23,0.81,12606.34,14.6207,71262.33,7
2025-01-21,South,Electronics,Northwind Foods,17025,16089,936,41051,0.945,10.94,0.71,29048.29,14.6207,176000.29,7
2025-01-21,South,Home,Kestrel Logistics,17390,16798,592,40226,0.966,9.38,0.83,33727.31,23.8355,157625.38,7
2025-01-21,South,Home,Northwind Foods,10798,10471,327,36979,0.9697,11.5,0.38,19002.33,23.8355,120416.49,7
2025-01-21,South,Sports,Kestrel Logistics,8096,7798,298,16046,0.9632,7.91,0.2,14311.5,46.8993,61651.59,7
2025-01-21,South,Sports,Northwind Foods,5249,5038,211,17027,0.9598,9.75,2.06,9439.96,46.8993,49110.44,7
2025-01-21,West,Apparel,Kestrel Logistics,12007,11620,387,42804,0.9678,9.3,0.43,23775.53,26.0069,108099.77,7
2025-01-21,West,Apparel,Northwind Foods,17041,16367,674,46668,0.9604,11.79,0.06,27527.26,26.0069,192977.39,7
2025-01-21,West,Beauty,Kestrel Logistics,13040,11981,1059,36343,0.9188,11.52,1.12,19648.28,19.8254,138013.73,7
2025-01-21,West,Beauty,Northwind Foods,8551,8478,73,24400,0.9915,11.19,0.76,15679.62,19.8254,94831.5,7
2025-01-21,West,Electronics,Kestrel Logistics,7868,7618,250,17997,0.9682,9.31,0.3,14057.93,27.3078,70956.92,7
2025-01-21,West,Electronics,Northwind Foods,7380,7090,290,23279,0.9607,11.84,0.51,13764.28,27.3078,83968.95,7
2025-01-21,West,Home,Kestrel Logistics,6795,6512,283,19691,0.9584,13.34,0.92,12608.11,19.482,86859.61,7
2025-01-21,West,Home,Northwind Foods,12542,12170,372,36836,0.9703,10.91,0.11,21466.08,19.482,132759.78,7
2025-01-21,West,Sports,Kestrel Logistics,5767,5599,168,14227,0.9709,12.38,0.02,9988.31,48.5306,69328.23,7
2025-01-21,West,Sports,Northwind Foods,2756,2572,184,9495,0.9332,13.4,0.4,4151.83,48.5306,34464.9,7
2025-01-28,Central,Apparel,Kestrel Logistics,13179,12354,825,32802,0.9374,9.59,0.06,23828.73,22.4832,118510.08,7
2025-01-28,Central,Apparel,Northwind Foods,10417,10376,41,29658,0.9961,11.47,1.55,18908.24,22.4832,119038.56,7
2025-01-28,Central,Beauty,Kestrel Logistics,16913,16221,692,55456,0.9591,10.78,0.36,29641.59,17.233,174842.43,7
2025-01-28,Central,Beauty,Northwind Foods,17571,17229,342,45067,0.9805,12.01,0.77,35443.9,17.233,206852.58,7
2025-01-28,Central,Electronics,Kestrel Logistics,10676,10100,576,28216,0.946,10.11,0.26,21252.68,16.1387,102151.59,7
2025-01-28,Central,Electronics,Northwind Foods,14440,13919,521,41895,0.9639,11.78,0.02,26342.33,16.1387,164031.79,7
2025-01-28,Central,Home,Kestrel Logistics,8431,8333,98,23256,0.9884,11.23,0.03,15776.94,26.2838,93577.98,7
2025-01-28,Central,Home,Northwind Foods,9037,8666,371,24331,0.9589,10.76,0.2,16035.9,26.2838,93227.91,7
2025-01-28,Central,Sports,Kestrel Logistics,5607,5586,21,14135,0.9963,11.69,0.68,11346.41,14.3364,65307.11,7
2025-01-28,Central,Sports,Northwind Foods,8773,8558,215,24168,0.9755,11.34,0.46,14852.79,14.3364,97088.71,7
2025-01-28,East,Apparel,Kestrel Logistics,3282,3193,89,9153,0.9729,9.12,0.2,5986.37,34.5039,29118.25,7
2025-01-28,East,Apparel,Northwind Foods,6261,6175,86,17932,0.9863,10.19,0.28,11016.51,34.5039,62917.86,7
2025-01-28,East,Beauty,Kestrel Logistics,12343,12009,334,36719,0.9729,14.48,0.17,22311.45,14.8059,173949.83,7
2025-01-28,East,Beauty,Northwind Foods,12635,12589,46,34224,0.9964,13.27,0.5,23569.4,14.8059,167115.19,7
2025-01-28,East,Electronics,Kestrel Logistics,3778,3626,152,10128,0.9598,9.15,0.29,6789.04,19.9493,33164.89,7
2025-01-28,East,Electronics,Northwind Foods,10160,9956,204,30755,0.9799,11.63,0.19,18018.63,19.9493,115752.33,7
2025-01-28,East,Home,Kestrel Logistics,9435,8986,449,34163,0.9524,11.71,0.01,18520.02,22.5484,105250.9,7
