Date,Region,Channel,Product category,Traffic source,Net Sales,Sq Footage,Total Transactions,Units Sold,Total Visitors,Number of Sales,Store Entrances,Website Sessions,Total Gross Profit,Avg Inventory Cost,COGS,Avg Inventory Value,Beginning Inventory,Recorded Value,Actual Value,Retail Sales,Start Customers,End Customers,New Customers,Customers Lost,Sales Marketing Expenses,Avg Purchase Value,Avg Purchase Frequency,Avg Customer Lifespan Years,Revenue From Ads,Cost Of Ads,Total Revenue,Total Expenses,Cash,Marketable Securities,Accounts Receivable,Current Liabilities,Current Assets
2025-01-16,South,Mobile,Apparel,Email,122182.86,5722,1452,1881,18827,1452,0,18827,39154.79,67837.11,83028.07,119996.34,2617,122352.26,122195.02,122182.86,7007,7415,455,47,7648.12,84.15,7.26,3.3,17874.22,5887.59,122182.86,90400.47,13116.42,13752.45,22531.18,61347.32,85398.95
2025-01-17,North,Web,Electronics,Paid Search,87902.58,5743,1100,3329,40320,1100,0,40320,25491.9,55582.7,62410.68,76447.19,6413,88739.32,87001.8,87902.58,5625,5580,333,378,13542.27,79.91,4.27,4.63,8213.96,3844.35,87902.58,79246.22,29753.84,15035.54,21316.85,25193.3,89040.39
2025-01-18,Central,Web,Electronics,Email,21327.14,5103,1250,1990,31132,1250,0,31132,11045.5,9390.1,10281.64,9465.94,3378,21424.91,20077.63,21327.14,5398,5447,228,179,8825.25,17.06,4.2,1.83,18691.17,3651.08,21327.14,17156.14,43253.76,17134.64,19608.68,31583.62,82836.86
2025-01-19,North,Web,Home,Social,100573.94,4932,983,2089,27023,983,0,27023,39796.36,59784.03,60777.58,81144.08,4674,102758.95,101447.79,100573.94,3045,3100,338,283,1864.05,102.31,4.06,3.26,2863.01,703.27,100573.94,65121.11,30393.41,1005.69,10719.39,21122.94,66461.71
2025-01-20,East,Web,Beauty,Email,51390.7,4953,415,866,6390,415,0,6390,13650.69,45016.19,37740.01,36961.73,1116,52866.57,48807.51,51390.7,2254,2288,146,112,12829.59,123.83,5.54,1.95,7931.46,4051.71,51390.7,47881.48,30576.87,5124.87,10484.59,45565.35,57274.85
2025-01-21,North,In-Store,Home,Organic Search,167768.59,1710,1617,3125,25707,1617,11454,7896,73511.62,75655.36,94256.97,133654.94,7204,170790.5,158781.26,167768.59,6636,7025,420,31,6187.25,103.75,4.28,2.48,12304.02,4294.71,167768.59,150547.39,50228.2,2110.78,24098.11,47406.28,116533.57
2025-01-22,West,Mobile,Electronics,Social,134212.79,2942,1186,2838,15776,1186,0,15776,64743.23,84881.12,69469.56,101466.38,5591,135510.51,127331.04,134212.79,2709,2631,162,240,4792.16,113.16,4.52,3.44,5397.34,3342.42,134212.79,120500.74,15001.19,4242.4,20350.14,29101.01,70033.64
2025-01-23,Central,Mobile,Home,Direct,96859.89,1583,862,1103,13638,862,0,13638,38412.05,75461.83,58447.84,79049.97,2249,98286.12,96657.97,96859.89,2762,2809,170,123,6959.42,112.37,3.08,3.66,12135.7,3267.65,96859.89,69769.64,59814.73,11007.77,10091.64,36132.21,104629.13
2025-01-24,East,Web,Electronics,Organic Search,62274.25,3077,838,1258,13029,838,0,13029,20734.2,43267.74,41540.05,58495.3,2485,64106.07,63247.71,62274.25,4426,4368,136,194,3922.46,74.31,1.59,3.14,13802.37,2557.33,62274.25,49425.56,43357.96,2525.59,21974.61,38434.48,85406.75
2025-01-25,North,Mobile,Home,Social,83760.63,5421,835,2611,23756,835,0,23756,42593.7,38282.26,41166.93,35085.53,4802,85210.58,83073.16,83760.63,3242,3040,96,298,14313.2,100.31,2.05,1.99,14828.34,4685.55,83760.63,67732.56,39013.01,15513.87,10748.69,64327.27,75801.23
2025-01-26,East,Mobile,Beauty,Email,112856.52,1993,486,1501,14968,486,0,14968,35358.8,82409.42,77497.72,71735.43,2140,113110.67,104086.03,112856.52,5690,5748,372,314,7843.82,232.22,1.71,2.15,12940.6,2620.39,112856.52,70525.5,17838.31,5291.09,20198.7,44566.95,64848.73
2025-01-27,South,Web,Apparel,Direct,119393.17,3341,1168,3312,48096,1168,0,48096,35791.31,66120.64,83601.86,116972.89,6425,120426.91,111990.8,119393.17,7641,7448,175,368,6933.87,102.22,3.27,3.16,14724.73,3783.19,119393.17,108802.76,45399.37,12074.27,2594.89,22193.31,95160.4
2025-01-28,Central,Mobile,Apparel,Email,139254.75,1829,797,1664,13487,797,0,13487,73083.93,68338.51,66170.82,83922.05,3369,141309.0,131035.75,139254.75,4850,4899,229,180,5834.29,174.72,2.18,1.64,12490.67,3587.34,139254.75,115846.62,27024.87,15210.0,2844.03,13459.71,70255.51
2025-01-29,East,Web,Apparel,Social,149887.48,5715,84,208,1598,84,0,1598,56054.06,74013.13,93833.42,102224.33,454,152699.71,149767.76,149887.48,3667,3532,156,291,3268.68,1784.37,3.37,4.52,6680.55,4135.34,149887.48,122983.85,48962.26,14195.66,9147.25,8847.82,102972.47
2025-01-30,West,In-Store,Electronics,Organic Search,170894.45,5280,710,1524,11270,710,7948,2051,85518.52,152116.96,85375.93,84947.75,2920,172861.03,171780.55,170894.45,6163,6486,402,79,13164.36,240.7,3.3,4.16,18916.39,3612.07,170894.45,132906.01,50130.22,5656.78,8866.78,44390.14,90138.1
2025-01-31,West,In-Store,Beauty,Direct,67361.32,5467,1625,3341,41341,1625,21215,12784,28395.44,34811.07,38965.88,55348.52,4198,68866.25,67242.26,67361.32,8647,8655,215,207,14843.59,41.45,6.65,3.61,8793.48,1640.79,67361.32,43393.23,58094.45,6639.89,4308.39,60392.44,85647.29
2025-02-01,North,Mobile,Beauty,Organic Search,78516.32,2680,712,895,10644,712,0,10644,25871.66,55874.55,52644.66,58856.03,1167,79290.25,77224.63,78516.32,6371,6413,214,172,9961.79,110.28,7.27,2.95,18093.01,4557.62,78516.32,53561.45,42641.98,5747.58,7232.18,13603.52,73278.55
2025-02-02,North,Mobile,Apparel,Social,127368.2,2862,198,236,2921,198,0,2921,43051.77,74818.7,84316.43,77272.28,446,129530.64,127380.63,127368.2,3392,3451,109,50,9728.14,643.27,3.99,3.73,16221.6,4232.5,127368.2,86771.62,40084.75,9191.41,17337.34,63732.33,89795.18
2025-02-03,West,Web,Sports,Paid Search,83977.52,2105,1495,4745,39394,1495,0,39394,45231.02,62576.42,38746.5,45157.83,7557,86495.27,85480.41,83977.52,2873,2809,141,205,9220.96,56.17,5.24,4.97,14688.81,2714.23,83977.52,69733.29,20096.42,11318.58,17773.39,54169.47,62735.74
2025-02-04,North,Mobile,Beauty,Email,112415.18,3385,1523,2375,48490,1523,0,48490,36556.07,87435.25,75859.11,107263.01,4952,112876.46,104723.74,112415.18,7140,7460,350,30,5670.59,73.81,4.37,3.32,11149.62,5992.7,112415.18,79060.32,46111.45,3512.8,5039.68,41443.28,86842.83
2025-02-05,East,Mobile,Sports,Email,52198.85,2847,2053,6428,54443,2053,0,54443,26679.83,41869.55,25519.02,29976.3,8342,53379.83,50072.91,52198.85,7540,7575,390,355,14729.22,25.43,7.79,4.22,15122.67,3243.31,52198.85,31573.6,34511.48,9095.72,17475.05,49685.13,70075.14
2025-02-06,Central,Web,Home,Organic Search,89094.02,3415,1423,4300,42755,1423,0,42755,23963.18,72337.9,65130.84,99488.02,6849,90185.32,83978.96,89094.02,2304,2217,175,262,3067.63,62.61,3.03,3.15,10190.04,3414.84,89094.02,83060.86,43306.62,10803.85,15508.83,53049.15,99465.71
2025-02-07,West,Mobile,Apparel,Social,169517.13,4843,1225,1431,29006,1225,0,29006,64927.59,148374.54,104589.54,155248.55,1902,173004.17,166699.43,169517.13,7282,7444,203,41,6874.89,138.38,2.73,1.49,22768.27,6860.25,169517.13,141033.01,40293.75,11942.92,2491.22,56781.26,101302.45
2025-02-08,South,In-Store,Sports,Paid Search,150728.67,2062,928,2163,13491,928,7282,4483,73343.53,105207.23,77385.14,79073.67,5362,155194.13,149485.66,150728.67,8541,8584,109,66,10424.28,162.42,1.67,1.06,15752.05,6424.88,150728.67,107517.78,14583.54,1047.98,19059.52,40617.3,58413.14
2025-02-09,North,Web,Beauty,Email,110110.56,5704,1931,4167,25167,1931,0,25167,28960.12,87165.01,81150.44,121205.06,7825,111623.62,111302.38,110110.56,2498,2548,265,215,7254.69,57.02,2.2,3.85,19505.05,3826.72,110110.56,78480.11,13158.36,2523.83,16359.3,44292.61,68403.01
2025-02-10,East,Web,Sports,Direct,86039.05,3915,1842,2409,29658,1842,0,29658,43521.81,62417.75,42517.24,60169.13,5148,86594.06,82794.69,86039.05,3871,3919,231,183,12670.16,46.71,4.09,3.92,7821.57,2844.11,86039.05,59299.1,57447.59,13736.42,12908.16,13655.94,102142.91
2025-02-11,North,In-Store,Beauty,Organic Search,147624.32,4552,325,757,6052,325,3617,827,52565.98,108159.95,95058.34,133103.29,1762,150817.7,150436.42,147624.32,6918,6907,179,190,2898.61,454.23,4.8,1.62,20125.59,4116.42,147624.32,106664.46,35594.6,2297.71,8407.07,22021.86,86230.37
2025-02-12,West,Mobile,Sports,Direct,112747.13,1715,1175,1363,32283,1175,0,32283,53974.63,97049.21,58772.5,63522.42,1957,113231.67,110127.71,112747.13,2570,2273,92,389,10047.82,95.96,1.7,3.98,6719.51,2113.5,112747.13,81100.54,25352.92,14431.92,19867.22,43190.8,78708.79
2025-02-13,North,In-Store,Electronics,Paid Search,123922.62,1907,1194,2424,26275,1194,20080,5892,38994.82,81314.7,84927.8,91394.06,3258,126444.02,122328.36,123922.62,6316,6510,361,167,2113.13,103.79,4.07,3.4,1508.82,557.65,123922.62,83515.41,12547.91,5110.39,9546.81,8479.25,54623.33
2025-02-14,West,In-Store,Electronics,Social,129031.46,5862,2129,4839,35434,2129,21703,7764,60981.87,79755.61,68049.59,79468.54,6296,130243.3,124296.75,129031.46,5313,5359,383,337,7138.87,60.61,2.25,1.08,13813.6,2935.76,129031.46,105334.04,50761.43,18395.4,4026.99,60358.03,97024.38
2025-02-15,South,Web,Sports,Social,21527.3,5792,1350,3599,40547,1350,0,40547,10413.52,9433.04,11113.78,14521.04,6801,21652.53,21264.91,21527.3,4876,4928,392,340,12503.0,15.95,3.04,1.59,7739.2,1979.54,21527.3,18644.26,41053.0,3542.92,19775.51,38635.26,68727.74
2025-02-16,Central,Mobile,Beauty,Direct,156650.46,4147,1374,1946,57019,1374,0,57019,59944.24,86378.66,96706.22,98615.1,2477,159034.7,150261.17,156650.46,5702,5702,39,39,6477.96,114.01,3.37,3.58,14573.57,7830.26,156650.46,126562.28,26146.54,11606.59,23947.32,53813.1,91284.98
2025-02-17,North,Web,Sports,Paid Search,112061.0,4133,2133,3022,89952,2133,0,89952,31494.81,95202.93,80566.19,86588.53,6432,113757.21,106227.02,112061.0,4029,4177,382,234,14878.31,52.54,4.91,3.44,16700.76,3229.23,112061.0,82431.6,47595.56,13577.95,3204.41,47114.97,90354.48
2025-02-18,East,In-Store,Home,Organic Search,56873.28,4666,695,1251,12644,695,6130,2591,30729.14,42611.74,26144.14,29113.24,2468,58473.7,55244.0,56873.28,5085,5256,349,178,12477.99,81.83,5.86,4.32,25623.05,6040.81,56873.28,44602.17,40531.37,8468.13,10322.05,30481.06,68055.52
2025-02-19,South,In-Store,Home,Social,46965.4,3072,643,916,17034,643,14868,4297,19346.51,36131.52,27618.89,33728.89,1887,48200.2,46727.32,46965.4,6892,7016,212,88,3690.34,73.04,6.9,4.08,14200.68,6567.83,46965.4,35373.67,27597.22,13527.26,7463.19,35540.32,58706.34
2025-02-20,East,Mobile,Beauty,Paid Search,49136.98,5874,2001,5999,63240,2001,0,63240,22283.23,33669.14,26853.75,30948.35,13199,50284.02,48284.35,49136.98,5429,5419,102,112,12317.0,24.56,2.4,2.0,26525.45,5308.84,49136.98,39019.15,10642.44,16917.85,21576.82,25673.91,58421.61
2025-02-21,South,Web,Beauty,Direct,150940.04,2707,455,1404,13654,455,0,13654,58162.99,86759.21,92777.05,76201.15,1782,153213.23,143846.12,150940.04,2668,2755,211,124,1880.53,331.74,7.55,4.36,25075.83,5374.71,150940.04,97833.27,20778.37,16595.23,18009.66,16605.15,78243.6
2025-02-22,West,Web,Sports,Organic Search,11268.67,2149,963,2747,18194,963,0,18194,5275.66,7481.11,5993.01,5327.48,4325,11370.48,10504.28,11268.67,5439,5458,347,328,7671.03,11.7,2.22,4.62,7790.41,4975.54,11268.67,8793.86,18306.6,2871.54,11872.49,46118.19,34648.87
2025-02-23,South,Mobile,Beauty,Paid Search,98039.34,2201,1557,1933,30195,1557,0,30195,39431.26,87663.42,58608.08,72868.69,3300,99422.09,96524.3,98039.34,5058,4815,149,392,1719.27,62.97,6.63,2.38,24066.37,5997.06,98039.34,85296.72,45435.28,6650.37,3019.72,41852.85,76965.98
2025-02-24,South,Mobile,Beauty,Social,147577.6,2993,338,880,4411,338,0,4411,38531.79,73906.2,109045.81,156250.36,2069,148974.85,140752.34,147577.6,5262,5411,437,288,7890.9,436.62,1.74,3.59,13093.03,2645.83,147577.6,91015.74,41065.23,5464.33,20384.88,35090.99,113789.55
2025-02-25,West,Mobile,Beauty,Social,175480.46,4277,2112,5392,50236,2112,0,50236,85842.81,93594.32,89637.65,77634.2,9445,177747.35,177677.65,175480.46,3478,3617,299,160,5836.35,83.09,2.02,3.64,10944.36,2798.72,175480.46,131459.54,42937.06,7030.94,2974.17,61942.3,76232.43
2025-02-26,East,Mobile,Beauty,Email,20907.08,1969,1743,3247,25607,1743,0,25607,9488.12,18322.85,11418.96,10439.48,6461,21397.13,19744.93,20907.08,2550,2350,140,340,6445.43,11.99,3.99,3.27,21242.34,5038.21,20907.08,19487.24,25460.74,15261.69,15200.2,40826.51,59054.47
2025-02-27,West,Web,Home,Paid Search,12457.09,2429,842,1808,19482,842,0,19482,5213.31,6613.32,7243.78,7303.41,3218,12829.44,12096.19,12457.09,6023,6073,122,72,3332.33,14.79,1.98,1.69,32112.42,5850.27,12457.09,11008.08,58215.87,19731.49,17360.32,51991.51,97498.7
2025-02-28,Central,Mobile,Home,Email,130431.17,2790,793,2194,15695,793,0,15695,37356.63,65279.52,93074.54,84800.35,4887,130534.02,125876.79,130431.17,5022,4989,259,292,3251.91,164.48,7.25,1.26,15226.8,3486.2,130431.17,100110.2,27593.73,8188.67,15222.71,15770.26,76445.21
2025-03-01,East,Mobile,Apparel,Social,124978.75,5316,1491,2041,21378,1491,0,21378,51915.05,86721.88,73063.7,103328.53,2791,126864.17,125526.63,124978.75,8810,8618,83,275,3565.71,83.82,2.57,2.29,16785.39,5819.99,124978.75,116144.8,54220.93,16918.67,7763.92,47373.54,109902.08
2025-03-02,Central,Web,Electronics,Email,24069.69,5870,770,1803,14041,770,0,14041,7253.65,17143.39,16816.04,25587.3,2954,24736.85,22839.42,24069.69,2232,2260,61,33,14305.38,31.26,6.51,2.06,7884.2,2081.06,24069.69,19649.0,6665.72,17779.94,14548.28,47798.25,46670.13
2025-03-03,East,Web,Electronics,Social,86009.59,3936,325,465,7232,325,0,7232,33486.34,49033.75,52523.25,48055.36,1078,86833.52,86750.32,86009.59,4829,4977,224,76,11768.98,264.64,4.85,1.42,4603.13,2313.03,86009.59,65140.1,12748.27,1012.11,23743.85,61578.16,51920.84
2025-03-04,West,In-Store,Electronics,Email,40651.47,4061,732,1571,14385,732,10058,2770,10445.51,35473.14,30205.96,36378.72,3859,40913.85,38795.81,40651.47,2414,2315,164,263,9566.5,55.53,6.98,3.69,4051.12,2643.11,40651.47,25920.35,12366.42,5289.46,10412.89,33001.75,38982.39
2025-03-05,North,Web,Apparel,Direct,70354.09,3094,1262,1583,25111,1262,0,25111,33722.21,37981.38,36631.88,58291.31,3299,70604.86,70464.12,70354.09,5226,5254,211,183,9030.73,55.75,3.88,1.58,15585.1,5018.47,70354.09,43203.69,7140.27,14271.84,20491.21,40198.63,59390.71
2025-03-06,South,Mobile,Sports,Paid Search,168195.42,4186,1384,1994,17422,1384,0,17422,79353.89,92443.09,88841.53,94980.37,4539,170881.53,166899.85,168195.42,4455,4700,263,18,6472.83,121.53,5.88,4.92,22862.2,4877.77,168195.42,143615.93,42842.4,532.94,12915.57,67958.38,84785.02
2025-03-07,Central,Mobile,Electronics,Organic Search,37328.07,5435,1637,2308,26905,1637,0,26905,9685.56,32628.56,27642.51,24544.24,2826,37679.36,35121.48,37328.07,7656,7560,124,220,8274.56,22.8,5.47,2.89,30262.39,6862.83,37328.07,31617.67,33527.58,11217.74,24956.83,37659.0,77065.42
2025-03-08,West,Web,Electronics,Social,66880.25,5867,1531,3857,21246,1531,0,21246,30378.6,53626.34,36501.65,36921.04,7056,68801.06,64832.65,66880.25,4445,4418,135,162,11910.85,43.68,6.08,3.76,14249.64,4167.52,66880.25,53248.09,56396.7,14433.29,8619.16,43555.56,90525.46
2025-03-09,Central,Web,Beauty,Email,57957.86,2699,1258,3907,50845,1258,0,50845,30555.55,42192.51,27402.31,38304.89,5775,59397.45,55934.02,57957.86,6604,6831,376,149,3353.18,46.07,5.5,3.35,9689.54,2318.44,57957.86,45547.03,40086.95,1049.82,11505.93,52476.2,64134.17
2025-03-10,North,Mobile,Electronics,Organic Search,77988.08,2793,2028,4264,63439,2028,0,63439,42049.16,43718.86,35938.92,47321.43,10149,78197.39,75533.26,77988.08,6383,6401,398,380,12979.5,38.46,1.74,4.69,17627.1,3634.14,77988.08,72285.04,6998.69,16724.06,20123.09,19551.32,58042.27
2025-03-11,East,In-Store,Apparel,Email,167694.23,2379,1452,2464,18299,1452,13284,4541,89140.91,138436.6,78553.32,92254.32,3574,168260.94,156987.38,167694.23,5759,5969,351,141,11201.08,115.49,1.59,2.35,11386.76,2712.68,167694.23,111953.75,38602.5,12774.52,11326.28,34517.6,90379.6
2025-03-12,East,In-Store,Beauty,Organic Search,176849.85,3013,2035,3621,58338,2035,32463,9955,84202.99,155100.4,92646.86,96496.96,7748,176910.52,172009.16,176849.85,7675,7774,140,41,10515.11,86.9,4.53,1.64,29314.09,5645.55,176849.85,161062.55,47341.26,13805.81,16690.36,66319.41,106786.52
2025-03-13,East,Mobile,Electronics,Paid Search,90247.29,2594,1943,5188,34484,1943,0,34484,33820.5,60882.38,56426.79,66395.29,9850,92045.27,86289.95,90247.29,4027,3999,368,396,9543.5,46.45,6.62,3.1,13148.07,4461.3,90247.29,83120.97,11171.48,16575.48,22766.43,20533.72,70431.98
2025-03-14,Central,In-Store,Electronics,Email,83996.58,5762,921,2399,18670,921,17537,4362,22401.11,39140.07,61595.47,69746.99,4637,85404.69,83168.92,83996.58,4524,4893,390,21,6845.31,91.2,6.81,3.98,8132.32,4837.33,83996.58,60526.68,8506.8,19882.47,23495.4,12279.19,72808.77
2025-03-15,West,In-Store,Home,Social,140263.19,2974,1801,3397,24510,1801,16400,9194,50950.45,61733.34,89312.74,140338.49,7938,140822.8,139248.81,140263.19,2971,2797,111,285,6806.29,77.88,2.33,4.91,30592.34,6761.16,140263.19,132194.09,30465.21,14381.88,11754.94,31515.14,98703.58
2025-03-16,South,In-Store,Beauty,Email,55411.75,2770,542,632,9092,542,6991,3462,28631.94,28832.57,26779.81,22865.48,1246,56153.89,54680.52,55411.75,2398,2154,145,389,2097.2,102.24,4.35,3.16,28352.49,6157.89,55411.75,35964.86,59641.59,4683.23,23077.13,43718.84,94261.59
2025-03-17,Central,Mobile,Home,Paid Search,158716.43,3972,985,1938,26979,985,0,26979,66187.2,110440.22,92529.23,128446.27,2766,161948.29,156193.95,158716.43,2384,2241,196,339,10563.12,161.13,6.61,2.27,7595.77,3622.43,158716.43,116142.5,46492.89,9470.38,21534.84,26645.66,116031.99
2025-03-18,South,Web,Apparel,Direct,174459.22,4880,629,1204,17818,629,0,17818,60900.03,76680.97,113559.19,131709.29,2025,177262.62,174843.43,174459.22,2422,2376,157,203,10594.57,277.36,5.42,4.49,8689.91,1911.22,174459.22,148902.14,35736.78,9587.88,21997.9,28643.79,106835.35
2025-03-19,North,In-Store,Electronics,Organic Search,165283.9,5423,917,1772,26688,917,15825,4935,64440.08,119725.16,100843.82,105557.04,2954,169661.34,162413.46,165283.9,8576,8715,389,250,11781.99,180.24,3.58,1.81,4790.97,2846.92,165283.9,149157.1,45768.88,324.4,14726.17,44209.98,92486.56
2025-03-20,West,Web,Electronics,Paid Search,47563.2,4202,1086,2333,18320,1086,0,18320,21662.85,25144.92,25900.35,37743.9,5730,48478.83,46503.2,47563.2,3378,3583,395,190,3785.09,43.8,6.18,2.95,27061.96,7376.75,47563.2,39222.2,8230.26,676.48,21474.04,66601.66,41703.95
2025-03-21,North,In-Store,Beauty,Paid Search,19690.49,3395,698,781,13864,698,8650,3956,8861.24,13945.98,10829.25,12849.59,1432,19694.4,18987.99,19690.49,2097,1844,28,281,11249.6,28.21,4.98,2.15,18309.93,4266.62,19690.49,14781.66,56684.16,3585.34,23115.12,40511.89,87239.5
2025-03-22,South,In-Store,Sports,Direct,148216.88,3567,1174,3251,47451,1174,46292,11279,47868.47,110957.85,100348.41,104360.31,7400,148575.34,148476.39,148216.88,7323,7705,408,26,2762.26,126.25,3.97,3.21,1416.1,920.86,148216.88,97820.81,32492.21,8678.19,20040.66,43083.11,92519.15
2025-03-23,North,Mobile,Apparel,Paid Search,163018.95,3231,2027,3383,26865,2027,0,26865,74227.19,88060.64,88791.76,109606.73,6953,163896.1,161934.95,163018.95,2128,1944,126,310,3446.59,80.42,6.83,4.28,20138.12,7466.56,163018.95,129988.93,36168.28,16988.85,17571.8,41514.87,103610.95
2025-03-24,West,Mobile,Electronics,Organic Search,136218.53,5602,1496,1814,32363,1496,0,32363,68327.54,77684.93,67890.99,96079.64,4428,137839.68,135342.63,136218.53,2242,2437,344,149,12077.9,91.06,4.43,1.91,13951.28,4647.78,136218.53,90586.45,37223.13,7601.45,19759.85,26313.53,93408.32
2025-03-25,South,Mobile,Apparel,Organic Search,34526.01,3695,711,1886,18230,711,0,18230,9735.14,13900.09,24790.87,25946.47,3145,34805.43,32389.95,34526.01,3535,3536,240,239,9019.3,48.56,4.83,1.41,4356.7,1172.14,34526.01,27928.9,48144.13,17274.36,2283.83,33656.22,75486.26
2025-03-26,North,Mobile,Sports,Paid Search,37168.26,5768,1639,2386,45357,1639,0,45357,12284.93,17579.38,24883.33,23235.21,3719,37502.5,36850.46,37168.26,4958,4970,148,136,11232.14,22.68,4.72,3.47,8032.98,3933.96,37168.26,22388.99,26763.06,16832.27,10737.47,61456.3,61303.36
